Student Contributor Name,Address,Zip Code,Price Sold,Date Sold,Number of Bedrooms,Number of Bathrooms (add 0.5 for a half bath),Year Built,Squared Feet,Lot size (in sqft),Number of Parking Spots
Hunter Jessee,"3815 Drake Ave, Cincinnati, OH",45209,815000,12/5/2023,6,3,1910,3005,8842,2
Rachael Rahe,"5 Garden Pl, Cincinnati, OH",45208,1501960,5/27/2022,6,7,1910,7692,66646.8,3
David Dickens,"3445 Hudson Ave, Cincinnati, OH",45207,152500,9/30/2022,5,1,1911,2037,4225,N/A
Josie Wittwer,"675 Greenwood Ave, Cincinnati, OH ",45229,257500,1/11/2023,4,2.5,1911,"1,794","7,405",NA
Shivani Pilli,219 Woolper Ave,45220,315000,10/3/2023,4,3,1911,2249,6490,Open
Sai Shivani Aahwanika Maddi Lakshmi,"2746 Willard Ave, Cincinnati, OH",45209,317500,3/17/2023,3,1,1911,"1,356",NA,NA
Mohammed Tahir Madni Mohammed,"3432 Fernside Pl, Cincinnati, OH",45207,325000,11/22/2023,4,3,1911,1976,4660,0
Rachael Rahe,"4045 Rose Hill Ave, Cincinnati, OH",45229,518535,12/7/2022,7,5,1911,6983,24393.6,3
Jameson Zink,"3441 Zumstein Ave,Cincinnati,OH",45208,625000,1/12/2024,4,4,1911,2792,7405.2,NA
Srikar Kudumula,"3441 Zumstein Ave, Cincinnati, OH",45208,625000,1/12/2024,4,4,1911,2792,7405,NA
Sai Shivani Aahwanika Maddi Lakshmi,"3441 Zumstein Ave, Cincinnati, OH",45208,625000,1/12/2024,4,4,1911,"2,792","7,405",NA
Rachael Rahe,"3583 Mooney Ave, Cincinnati, OH",45208,950000,8/27/2021,5,5,1911,4645,7666,2
Qinghua Huang,"2810 Hyde Park Ave, Cincinnati",45209,98775,10/19/2023,3,2,1912,1714,8929,Garage - Detached
Nishit Raj,"2860 Shaffer Ave, Cincinnati, OH",45211,172000,11/2/2023,6,2,1912,2528,7492,2
Mohammed Tahir Madni Mohammed,"1904 Clarion Ave, Cincinnati, OH",45207,176000,10/2/2023,3,1,1912,2468,6969,N/A
Mohammed Tahir Madni Mohammed,"3197 Gilbert Ave, Cincinnati, OH",45207,253000,9/22/2023,8,2,1912,3405,4573,N/A
Sai Shivani Aahwanika Maddi Lakshmi,"3872 Isabella Ave, Cincinnati, OH",45209,333000,3/27/2023,3,2,1912,"1,260","6,577",1
Sai Shivani Aahwanika Maddi Lakshmi,"3130 Markbreit Ave, Cincinnati, OH",45209,420000,3/10/2023,3,3,1912,"1,602","4,200",2
Qinghua Huang,"1152 Herschel Ave, Cincinnati, OH",45208,425000,1/10/2024,2,2,1912,1832,1833,2
Nikhita Veluri,"2726 Silverleaf Ave, Cincinnati, OH",45212,450000,12/29/2023,4,2,1912,1900,"7,535",2
Nikhita Veluri,"2907 Minot Ave, Cincinnati, OH",45209,495000,10/16/2023,3,2,1912,1548,5096,1
Nishit Raj,"411 Resor Ave, Cincinnati, OH",45220,589000,11/6/2023,3,2,1912,1982,7535,4
Shivani Pilli,411 Resor Ave,45220,589000,11/6/2023,3,2,1912,1982,7535,4
Archana Basnett,"622 Straight St, Cincinnati, OH",45219,147500,2/12/2021,2,2,1913,1480,6011.28,2
Archana Basnett,"628 Straight St, Cincinnati, OH",45219,151750,10/15/2021,3,2,1913,0,3632.97,2
Sai Shivani Aahwanika Maddi Lakshmi,"3462 Brotherton Rd, Cincinnati, OH",45209,191000,11/29/2023,3,1,1913,"1,806","4,399",NA
Sai Shivani Aahwanika Maddi Lakshmi,"2724 Minot Ave, Cincinnati, OH",45209,272000,11/29/2023,3,1,1913,"1,776","5,575",NA
Prashant Mukesh Gupta,"287 Bodmann Ave, Cincinnati, OH",45219,375000,9/19/2023,4,2,1913,1753,4660,0
Ajay Mahato,"1152 Hershel Ave, Cincinnati, OH",45208,425000,1/10/2024,2,2,1913,1832,1833,2
Anil Palazzo,"1152 Herschel Ave, Cincinnati, OH",45208,425000,1/10/2024,2,2,1913,"1,832","1,833",2
Jadyn Bauss,"1152 Herschel Ave, Cincinnati, OH",45208,425000,1/10/2024,2,2,1913,"1,832","1,833",2
Jameson Zink,"1152 Herschel Ave,Cincinnati,OH",45208,425000,1/10/2024,2,2,1913,1832,1833.88,2
Pimlapas Kumkerd,"1152 Herschel Ave, Cincinnati, OH",45208,425000,1/10/2024,2,2,1913,"1,832","1,833",2
Ranjay Bose,"1152 Herschel Ave,Cincinnati,OH",45208,425000,1/10/2024,2,2,1913,1832,1833.88,2
Srikar Kudumula,"1152 Herschel Ave, Cincinnati, OH",45208,425000,1/10/2024,2,2,1913,1832,1833,2
David Dickens,"440 Wood Ave, Cincinnati, OH",45220,449000,9/8/2023,4,3,1913,2464,9801,2
Qinghua Huang,"440 Wood Ave, Cincinnati, OH",45220,449000,9/8/2023,4,4,1913,2464,9801,2
Sergio Mateo,440 Wood Ave,45220,449000,9/8/2023,4,3,1913,2464,9801,2
Shivani Pilli,440 Wood Ave,45220,449000,9/8/2023,4,3,1913,2464,9801,2
Adapa Veda Supraja,440 Wood Ave,45220,449000,9/8/2023,4,3,1913,2464,9801,2
Shivani Pilli,3584 Vine St,45220,170000,11/1/2023,4,2,1914,2229,2787,1
Shreyas Nadig,"2217 Wheeler St, Cincinnati",45219,200000,9/19/2023,4,2,1914,"1,912",2700,
Prashant Mukesh Gupta,"2217 Wheeler St, Cincinnati, OH",45219,200000,9/19/2023,4,2,1914,1912,2700,0
Shivani Pilli,223 Woolper Ave,45220,200000,9/22/2023,5,2.5,1914,,8276,Open
Matt Guido,172 Ivanhoe Ave,45233,230000,12/28/2023,4,2,1914,1614,7000,NAN
Sai Shivani Aahwanika Maddi Lakshmi,"3236 Berwyn Pl, Cincinnati, OH",45209,290000,3/23/2023,3,2,1914,"1,691","7,143",NA
Derek Schult,2548 Hackberry Street,45206,50013,12/20/2018,5,2.5,1915,1856,4225,2
Dwijesh Bharadwaj Kuppahalli Krishnamurthy,"2121 Burnet Ave, Cincinnati, OH",45219,110650,6/20/2023,3,1,1915,1551,4339,NA
Robin Verdon,"4836 Plainville Rd, Cincinnati, OH",45227,175000,11/22/2023,3,1,1915,1471,13068,
Prashant Mukesh Gupta,"349 Earnshaw Ave, Cincinnati, OH",45219,187000,9/1/2023,5,2,1915,2098,4835,2
Stewart Shumrick,1645 Sutton Ave,45230,205000,11/29/2021,1,1,1915,1015,8015,2
Josie Wittwer,"4918 Plainville Rd, Cincinnati, OH",45227,276670,3/24/2023,2,2,1915,"1,304","6,403",open parking
Qinghua Huang,"3717 Maple Park Ave, Cincinnati, OH",45209,322000,10/27/2023,3,4,1915,1656,3280,2 Carport spaces
Hunter Jessee,"3119 Minot Ave, Cincinnati, OH ",45209,370000,12/12/2023,3,1,1915,1786,3640,1
Sai Shivani Aahwanika Maddi Lakshmi,"2136 Madison Rd UNIT B, Cincinnati, OH",45208,403000,11/30/2023,2,2,1915,"1,544",NA,1
Qinghua Huang,"3722 Drake Ave, Cincinnati, OH",45209,410000,11/16/2023,3,3,1915,1800,6263,Driveway
Sai Shivani Aahwanika Maddi Lakshmi,"4201 Eileen Dr, Cincinnati, OH",45209,570000,3/18/2023,5,3,1915,"2,320","5,749",1
Qinghua Huang,"5252 Globe Ave, Cincinnati, OH 45212",45212,168000,8/25/2023,2,1,1916,698,5619,1
Sai Shivani Aahwanika Maddi Lakshmi,"3154 Linwood Ave, Cincinnati, OH",45208,275000,1/2/2024,2,2,1916,"1,254","2,962",NA
Qinghua Huang,"5211 Warren Ave, Cincinnati, OH",45212,351000,8/25/2023,5,3,1916,2619,3746,Garage
Nikhita Veluri,"3555 Kroger Ave, Cincinnati, OH",45226,449900,12/5/2023,4,2.5,1916,2009,5749,0
Bhargav Sreepathi,"4544 Midland Ave, Cincinnati, OH",45205,86000,11/30/2023,2,2,1917,1296,3920,2
Mohammed Tahir Madni Mohammed,"3338 Bevis Ave, Cincinnati, OH",45207,255000,11/28/2023,3,2,1917,1317,5052,0
Rachael Rahe,"6473 Beechmont Ave, Cincinnati, OH",45230,350000,7/26/2023,6,4,1917,7874,23522.4,6
Shivani Pilli,166 Lafayette Cir,45220,550000,8/25/2023,4,4,1917,3262,16552.8,1
Georgia Croci,"1 Handasyde Lane, Cincinnati OH",45208,1200000,12/1/2023,5,4,1917,3440,17424,2
Nikhil Sai Kumar Runku,"3047 Observatory Ave, Cincinnati, OH",45208,1937500,9/19/2022,5,5,1917,6308,43560,3
Prashant Mukesh Gupta,"2357 Chickasaw St, Cincinnati, OH",45219,140000,9/18/2023,1,1,1918,880,2134,4
Nikhil Sai Kumar Runku,"2357 Chickasaw St, Cincinnati, OH",45219,140000,9/18/2023,1,1,1918,880,2134,4
David Dickens,"3305 Morrison Ave, Cincinnati, OH",45220,220000,2/19/2021,2,2,1918,1808,8755,N/A
Mohammed Tahir Madni Mohammed,"1950 Hewitt Ave, Cincinnati, OH",45207,230000,10/20/2023,2,2,1918,998,4051,1
Qinghua Huang,"3033 Griest Ave, Cincinnati, OH",45208,560000,11/27/2023,3,3,1918,2068,6185,1
Hunter Jessee,"2890 Ziegle Ave, Cincinnati, OH",45208,660000,12/11/2023,4,2,1918,1908,7492,2
Josie Wittwer,"718 Clinton Springs Ave, Cincinnati, OH",45229,800000,10/13/2023,5,4,1918,"5,184",15681.6,3
Adapa Veda Supraja,"718 Clinton Springs Ave, Cincinnati, OH",45229,800000,10/13/2023,5,4,1918,"5,184",15681.6,3
Zachary Durst,"108 Quarry St, New Richmond, OH",45157,45000,9/26/2023,3,1,1919,858,2613,NA
Adapa Veda Supraja,"108 Quarry St, New Richmond, OH",45157,45000,9/26/2023,3,1,1919,858,2613,NA
Hrishikesh Anil Patil,"1034 Del Monte Pl, Cincinnati, OH",45205,178500,11/2/2023,3,2,1919,1000,43560,NA
Zachary Durst,"785 Greenmound Rd, New Richmond, OH",45157,193000,12/7/2023,3,1.5,1919,NA,179467.2,NA
Ajay Mahato,"3917 Standish Ave, Cincinnati, OH",45213,265000,1/4/2024,4,2,1919,2055,6969,NA
Anil Palazzo,"3917 Standish Ave, Cincinnati, OH",45213,265000,1/4/2024,4,2,1919,"2,055","6,969",open parking
Rachael Rahe,"5846 Red Bank Rd, Cincinnati, OH",45213,440000,6/12/2023,3,2,1919,1944,83635.2,3
William Treutel,"1359 Fleming St, Cincinnati, OH",45206,560000,11/8/2023,4,3,1919,2753,4007,
Derek Schult,1939 Sutton Ave,45230,95500,11/23/2015,3,1,1920,1365,10062,1
Archana Basnett,"3747 Dunloe Ave, Cincinnati, OH",45213,120000,11/15/2023,2,1,1920,818,"7,492",1
Bhargav Sreepathi,"3640 W Liberty St, Cincinnati, OH",45205,149000,11/16/2023,4,1,1920,2000,5619,1
Ajay Mahato,"3046 Verdin Ave, Cincinnati, OH",45211,222000,1/9/2024,3,2,1920,1672,6185,NA
Anil Palazzo,"3046 Verdin Ave, Cincinnati, OH",45211,222000,1/9/2024,3,2,1920,"1,672","6,185",open parking
Catherine Ngothi,"3046 Verdin Ave, Cincinnati, OH",45211,222000,1/9/2024,3,2,1920,1672,"6,185",Open parking
Pimlapas Kumkerd,"3046 Verdin Ave, Cincinnati, OH",45211,222000,1/9/2024,3,2,1920,"1,672","6,185",
Ranjay Bose,"3046 Verdin Ave,Cincinnati,OH",45211,222000,1/9/2024,3,2,1920,1672,6185.52,0
Srikar Kudumula,"179 E High St, London, OH",43140,262500,12/19/2023,3,2,1920,1839,9583,2
Lokesh Rudravalambi Suresh,"3011 Paul St, Cincinnati",45208,347500,1/12/2024,2,2,1920,1102,4051,0
Ishaan Chaudhari,"40 Short St, Columbus, OH",43085,550000,7/21/2021,3,2.5,1920,1722,3746160,N/A
William Treutel,"4522 Innes Ave, Cincinnati, OH",45223,145000,11/1/2023,4,2,1921,1461,5488,1
Matt Guido,2907 Moosewood Ct,45225,155000,12/29/2023,3,2,1921,1461,5837,0
Prashant Mukesh Gupta,"270 Gilman Ave, Cincinnati, OH",45219,157000,9/8/2023,2,1,1921,1373,3267,0
Josie Wittwer,"24 W 66th St, Cincinnati, OH",45216,162000,12/15/2023,3,1,1921,"1,135","2,657",1
Adapa Veda Supraja,"1811 Lawn Ave, Cincinnati, OH",45237,181900,12/8/2023,3,2,1921,1748,3571,1
Sergio Mateo,4449 Foley Rd,45238,200000,9/12/2023,4,2,1921,1935,17424,1
Adapa Veda Supraja,4449 Foley Rd,45238,200000,9/12/2023,4,2,1921,1935,17424,1
Josie Wittwer,"775 E Mitchell Ave, Cincinnati, OH",45229,227000,12/26/2023,3,1.5,1921,"1,344","6,011",1
Dwijesh Bharadwaj Kuppahalli Krishnamurthy,"343 Ada St, Cincinnati, OH",45219,235000,5/31/2023,2,2,1921,NA,2526,1
Sergio Mateo,1352 Westminster Dr,45229,260000,9/6/2023,3,4,1921,2392,10280.2,2
Archana Basnett,"1941 Kinney Ave, Cincinnati, OH",45207,329000,11/15/2023,3,2,1921,1368,"5,924",3
Mohammed Tahir Madni Mohammed,"1941 Kinney Ave, Cincinnati, OH",45207,329000,11/15/2023,3,2,1921,1368,5924,3
Sergio Mateo,3475 Morrison Pl,45220,389000,9/11/2023,4,3,1921,2400,4000,2
Shivani Pilli,3475 Morrison Pl,45220,389000,9/11/2023,4,3,1921,2400,4000,2
Nikhil Sai Kumar Runku,3475 Morrison Pl,45220,389000,9/11/2023,4,3,1921,2400,4000,2
Dwijesh Bharadwaj Kuppahalli Krishnamurthy,"228 Dorchester Ave, Cincinnati, OH",45219,390000,7/17/2023,4,2.5,1921,3135,4922,2
William Treutel,"1214 Inglenook Pl, Cincinnati OH",45208,512500,10/6/2022,3,2,1921,1656,6838,1
Derek Schult,3441 Pape Ave,45208,245,9/29/2022,3,2,1922,1700,4181,2
Matt Guido,1144 Carmania Ave,45238,125000,12/28/2023,3,1,1922,1604,7501,1
Stewart Shumrick,1325 Beacon Rd,45230,255000,11/21/2023,3,2,1922,1290,12196.8,1
David Dickens,"3477 Bevis Ave, Cincinnati, OH",45207,299900,6/16/2023,3,3,1922,1639,7230,1
Qinghua Huang,"2150 Easthill Ave, Cincinnati, OH",45208,800000,12/29/2023,5,5,1922,3573,19702,2
Georgia Croci,"5 Annwood Lane, Cincinnati OH",45206,1125000,12/15/2023,4,5,1922,3568,27002,2
Mohammed Tahir Madni Mohammed,"2015 Fairfax Ave, Cincinnati, OH",45207,91000,11/14/2023,2,1,1923,1262,6229,0
Nicole Baker,"4847 Greenwood Ter, Cincinnati, OH",45226,96000,1/25/2021,2,1,1923,1148,4486,0
Hrishikesh Anil Patil,"2914 Grasselli Ave, Cincinnati, OH",45211,159900,11/17/2023,2,2,1923,"1,150","8,232",0
Caylee Rosa,"62 Hereford St, Cincinnati, OH",45216,200000,12/11/2023,3,1,1923,"1,376","6,534",2
Hunter Jessee,"62 Hereford St, Cincinnati, OH",45216,200000,12/11/2023,3,1,1923,1376,6534,2
Shivani Pilli,3310 Bishop St,45220,357000,10/19/2023,3,1,1923,1677,5706,N/A
Qinghua Huang,"622 Evanswood Pl, Cincinnati, OH",45220,555000,4/17/2023,4,3,1923,2623,12197,Open Parking
Josie Wittwer,"3940 Red Bud Ave, Cincinnati, OH ",45229,655000,7/10/2023,6,3.5,1923,"4,200",11325.6,1
Zachary Durst,"1500 Bethel New Richmond Rd, New Richmond, OH",45157,108500,9/22/2023,4,2,1924,2065,87120,2
Zachary Durst,"1059 Us Route 52, New Richmond, OH",45157,178000,9/1/2023,4,1.5,1924,2084,27442.8,NA
Archana Basnett,"3264 Daytona Ave, Cincinnati, OH",45211,180000,11/15/2023,3,1,1924,1260,"6,751",1
Prashant Mukesh Gupta,"322 Dorchester Ave, Cincinnati, OH",45219,190000,9/29/2023,2,1.5,1924,958,4225,1
Catherine Ngothi,"5734 Warren Ave, Cincinnati, OH",45212,197400,11/16/2023,2,2,1924,950,"3,528",none
Bhargav Sreepathi,"2810 Montana Ave, Cincinnati, OH",45211,215000,11/22/2023,4,2,1924,1800,9670,1
Pimlapas Kumkerd,"6229 Cambridge Ave, Cincinnati, OH",45230,230000,12/29/2023,3,2,1924,"1,200","8,232",
Stewart Shumrick,6229 Cambridge Ave,45230,230000,12/29/2023,3,2,1924,1200,8232,N/A
Georgia Croci,"6229 Cambridge Ave, Cincinnati OH",45230,230000,12/29/2023,3,2,1924,1200,"8,232",NA
Derek Schult,672 Delta Ave,45226,253000,1/24/2022,3,1,1924,1249,5662,0
Hrishikesh Anil Patil,"4110 Forest Ave, Cincinnati, OH",45212,350000,11/27/2023,3,2,1924,2170,"5,880",NA
Georgia Croci,"3251 Hardisty Avenue, Cincinnati OH",45208,940000,11/16/2023,5,5,1924,3826,19602,2
Mohammed Tahir Madni Mohammed,"3351 Hewitt Crescent St, Cincinnati, OH",45207,40000,9/26/2023,2,1,1925,1119,4617,1
William Treutel,"2744 Shaffer Ave, Cincinnati, OH",45211,61000,12/8/2023,2,1,1925,837,7230,1
Prashant Mukesh Gupta,"234 Gilman Ave, Cincinnati, OH",45219,100000,9/15/2023,3,1,1925,1072,1960,1
Derek Schult,4378 Virginia Ave,45223,105111,5/19/2023,2,1,1925,840,5140,2
Prashant Mukesh Gupta,"2122 Highland Ave, Cincinnati, OH",45219,150000,11/13/2023,2,1,1925,2080,4922,0
Ajay Mahato,"609 Athens Ave, Cincinnati, OH",45226,175000,1/3/2024,2,2,1925,1144,6011,1
Pimlapas Kumkerd,"609 Athens Ave, Cincinnati, OH",45226,175000,1/3/2024,2,2,1925,"1,144","6,011",1
Rachael Rahe,"609 Athens Ave, Cincinnati, OH",45226,175000,1/3/2024,2,2,1925,1144,6011,1
William Treutel,"4232 Appleton St, Cincinnati, OH",45209,177000,11/27/2023,2,3,1925,2586,13068,
Jameson Zink,"3510 Daytona Ave,Cincinnati,OH",45211,180000,1/12/2024,2,2,1925,1147,4965.84,1
Ranjay Bose,"3510 Daytona Ave,Cincinnati,OH",45211,180000,1/12/2024,2,2,1925,1147,4965.84,N/A
Lokesh Rudravalambi Suresh,"3510 Daytona Ave, Cincinnati",45211,180000,1/12/2024,2,2,1925,1147,4965,0
Jayavardhan Reddy Mallu,"510 Daytona Ave, Cincinnati, OH",45211,180000,1/12/2024,2,2,1925,"1,147","4,965",N/A
Derek Schult,2936 N Bend Rd,45239,225000,8/12/2021,4,2.5,1925,2428,10105,2
Josie Wittwer,"3110 Auten Ave, Cincinnati, OH",45213,227000,12/15/2023,3,1.5,1925,"1,536","6,795",1
Qinghua Huang,"2617 Melrose Ave, Norwood, OH",45212,235000,8/29/2023,2,2,1925,995,3354,1
Sarah Schaefer,"211 Grove Ave, Cincinnati, OH",45215,250000,10/27/2023,2,1,1925,"1,962","6,534",1
Mohammed Tahir Madni Mohammed,"3415 Wabash Ave, Cincinnati, OH",45207,284000,11/20/2023,3,2,1925,1392,4800,0
Josie Wittwer,"685 N Fred Shuttlesworth Cir, Cincinnati, OH",45229,310000,10/25/2023,5,4,1925,"2,838","9,626",NA
Catherine Ngothi,"6348 Hamilton Ave, Cincinnati, OH",45224,311500,12/22/2023,3,2,1925,1940,"14,810",1
Caylee Rosa,"6348 Hamilton Ave, Cincinnati, OH",45224,311500,12/22/2023,3,2,1925,"1,940",14810.4,1
Jadyn Bauss,"6348 Hamilton Ave, Cincinnati, OH",45224,311500,12/22/2023,3,2,1925,"1,940","14,810.30",1
Pimlapas Kumkerd,"6348 Hamilton Ave, Cincinnati, OH",45224,311500,12/22/2023,3,2,1925,"1,940",14810.4,1
Miranda Knisley,"6612 Elm St, Cincinnati, OH",45227,435000,7/26/2023,3,2,1925,1484,3702,1
Sarah Schaefer,"3624 Erie Ave, Cincinnati, OH",45208,445000,6/5/2023,3,3,1925,"1,780","7,405",1
Sarah Schaefer,"3630 Parkline Ave, Cincinnati, OH",45208,467000,6/9/2023,3,2,1925,"1,587","6,098",1
Miranda Knisley,"6616 Elm St, Cincinnati, OH",45227,535000,,3,2,1925,1576,3528,1
Sarah Schaefer,"554 Reily Rd, Cincinnati, OH",45215,559000,10/12/2023,4,3,1925,"2,226","13,068",2
Sarah Schaefer,"2898 Victoria Ave, Cincinnati, OH",45208,565000,6/9/2023,4,2,1925,"2,048","7,405",1
Sarah Schaefer,"637 Oak Ave, Cincinnati, OH",45215,608000,10/27/2023,4,4,1925,"2,547","13,068",2
Sarah Schaefer,"3004 Springer Ave, Cincinnati, OH",45208,900000,6/15/2023,4,5,1925,"2,842","11,325",2
Nicole Baker,"3135 Victoria Ave, Cincinnati, OH",45208,1305000,11/22/2023,5,5,1925,4098,17424,1
Georgia Croci,"3135 Victoria Avenue, Cincinnati OH",45209,1306000,11/22/2023,5,5,1925,4098,17424,1
Sarah Schaefer,"1129 Rookwood Dr, Cincinnati, OH",45208,1550000,6/7/2023,4,7,1925,"4,628","14,810",2
Srikar Kudumula,"10 Gradin Ln, Cincinnati, OH",45208,3600000,10/12/2021,5,6,1925,8374,129373.2,3
Matt Guido,4939 Western Hills Ave,45238,140000,12/29/2023,3,1,1926,1392,9147,2
Nishit Raj,"4312 Saint Lawrence Ave, Cincinnati, OH",45205,190600,11/7/2023,3,3,1926,1592,5401,2
Jadyn Bauss,"2927 Mignon Ave, Cincinnati, OH",45211,215000,1/11/2024,4,2,1926,"1,371","4,356",1
Jameson Zink,"2927 Mignon Ave,Cincinnati,OH",45211,215000,1/11/2024,4,2,1926,1371,43.56,2
Ranjay Bose,"2927 Mignon Ave,Cincinnati,OH",45211,215000,1/11/2024,4,2,1926,1371,43.56,1
Srikar Kudumula,"2927 Mignon Ave, Cincinnati, OH",45211,215000,1/11/2024,4,2,1926,1371,4356,1
Matt Guido,3103 Montana Ave,45211,230000,12/27/2023,3,1.5,1926,1458,7492,1
Robin Verdon,"4508 Plainville Rd. Cincinnati, OH",45227,260000,11/21/2023,3,1,1926,1053,6534,
Bhargav Sreepathi,"565 Spring Lawn Ave, Cincinnati, OH",45223,282000,11/21/2023,4,2,1926,1683,4725,1
Sergio Mateo,2982 Lischer Ave,45211,286000,9/7/2023,3,2,1926,1767,8537.76,2
Hunter Jessee,"6636 Dante Ave, Cincinnati, OH",45213,335000,12/8/2023,3,2,1926,1901,8015,0
David Dickens,"3301 Morrison Ave, Cincinnati, OH",45220,467000,4/21/2023,4,3,1926,2272,10628,1
Rachael Rahe,"1815 Keys Crescent Ln, Cincinnati, OH",45206,1025000,7/20/2021,5,7,1926,7891,26136,2
Caylee Rosa,"126 W 64th St, Cincinnati, OH",45216,76000,11/16/2023,4,N/A,1927,"1,936","3,789",N/A
Hrishikesh Anil Patil,"2341 Nicholson Ave, Cincinnati, OH",45211,79000,11/30/2023,3,2,1927,1154,"6,969",NA
Jayavardhan Reddy Mallu,"4789 Prosperity Pl, Cincinnati, OH",45238,125000,1/10/2024,2,1,1927,"1,023",1927,N/A
Derek Schult,2626 Montana Ave,45211,129900,4/27/2006,3,2,1927,1695,13503,2
Shreyas Nadig,"155 Warner St, Cincinnati",45219,182500,9/30/2022,3,2,1927,"1,083",2787,1
Josie Wittwer,"6248 Sturdy Ave, Cincinnati, OH",45230,187500,10/9/2023,3,2,1927,"1,764","7,535",1
Ajay Mahato,"1236 Laidlaw Ave, Cincinnati, OH",45237,253000,1/5/2024,4,2,1927,1810,5924,NA
Anil Palazzo,"1236 Laidlaw Ave, Cincinnati, OH",45237,253000,1/5/2024,4,2,1927,"1,810","5,924",garage
Jadyn Bauss,"1236 Laidlaw Ave, Cincinnati, OH",45237,253000,1/5/2024,4,2,1927,"1,810","5,924",0
Rachael Rahe,"1236 Laidlaw Ave, Cincinnati, OH",45237,253000,1/5/2024,4,2,1927,1810,5924,2
Qinghua Huang,"3987 Ballard Ave, Cincinnati, OH",45209,370000,11/3/2023,3,2,1927,1297,4835,1
Nikhita Veluri,"3542 Pape Ave, Cincinnati, OH",45208,457500,9/26/2023,3,1,1927,1460,6098,1
Nikhita Veluri,"3482 Linwood Ave, Cincinnati, OH",45226,465000,9/5/2023,3,2.5,1927,2004,11761,2
Hunter Jessee,"6309 Orchard Ln, Cincinnati, OH",45213,499000,12/18/2023,3,2,1927,1756,5793,2
Nikhita Veluri,"6309 Orchard Ln, Cincinnati, OH",45213,499000,12/18/2023,3,1.5,1927,1756,5793,2
Jadyn Bauss,"1330 Paxton Ave, Cincinnati, OH",45208,565000,12/29/2023,3,3,1927,"2,092","5,967",1
Kory Bailey,"1330 Paxton Ave, Cincinnati, OH",45208,565000,12/29/2023,3,2.5,1927,2092,5967,1
Pimlapas Kumkerd,"1330 Paxton Ave, Cincinnati, OH",45208,565000,12/29/2023,3,3,1927,"2,092","5,967",1
Qinghua Huang,"1330 Paxton Ave, Cincinnati, OH",45208,565000,12/29/2023,3,3,1927,2092,5967,1
Miranda Knisley,"3825 Miami Rd, Cincinnati, OH",45227,655000,6/20/2023,3,2,1927,1812,8363,2
Georgia Croci,"17 Belsaw Place, Cincinnati OH",45220,1400000,11/2/2023,5,4,1927,4370,30056,2
Shivani Pilli,17 Belsaw Pl,45220,1400000,11/2/2023,5,3.5,1927,4370,30056.4,2
Georgia Croci,"1257 Edwards Lane, Cincinnati OH",45208,1500100,12/15/2023,5,4,1927,3559,13068,2
William Treutel,"1257 Edwards Rd, Cincinnati, OH",45208,1500100,12/15/2023,5,4,1927,3559,13068,2
Hrishikesh Anil Patil,"2054 Queen City Ave, Cincinnati, OH",45214,40000,11/8/2023,3,1,1928,1154,52272,1
Shivani Pilli,57 Ehrman Ave,45220,55000,10/16/2023,2,1,1928,1338,4486,1
Derek Schult,1379 Washington Cir,45255,95000,1/27/2020,2,1,1928,922,9147,1
Jameson Zink,"1510 Joseph St,Cincinnati,OH",45237,130500,1/12/2024,3,2,1928,2156,5793.48,2
Lokesh Rudravalambi Suresh,"1510 Joseph St, Cincinnati",45237,130500,1/12/2024,3,2,1928,2156,5793,0
Nishit Raj,"7239 Reading Rd, Cincinnati, OH",45237,144900,11/2/2023,3,2,1928,1456,6098,2
Josie Wittwer,"1039 Benz Ave, Cincinnati, OH",45238,146000,12/6/2023,2,1,1928,"1,287","7,100",1
Nishit Raj,"1008 Schiff Ave, Cincinnati, OH",45205,160000,11/7/2023,3,3,1928,2237,5140,2
Heather Stoffer,"6238 Corbly Rd, Cincinnati, OH ",45230,180000,12/4/2023,3,2,1928,"1,233","7,013",1
Josie Wittwer,"6238 Corbly Rd, Cincinnati, OH",45230,180000,12/4/2023,3,2,1928,"1,233","7,013",NA
Stewart Shumrick,6238 Corbly Rd,45230,180000,12/4/2023,3,2,1928,1233,7013,N/A
Ramvyasa Thavasiraj,"167 E 1st St, London, OH",43140,195000,9/18/2023,4,2,1928,1918,4791,2
Robin Verdon,"4336 Simpson Ave, Cincinnati, OH",45227,196250,12/13/2023,3,2,1928,1844,8581,1
Stewart Shumrick,1031 Burns Ave,45230,215000,12/4/2023,2,2,1928,980,13503.6,1
Mohammed Tahir Madni Mohammed,"3402 Wabash Ave, Cincinnati, OH",45207,250000,10/4/2023,3,2,1928,1520,5575,1
Josie Wittwer,"1962 Berkley Ave, Cincinnati, OH",45237,253000,8/3/2023,2,1.5,1928,"1,233","5,793",1
Sarah Schaefer,"356 Hilltop Ln, Cincinnati, OH",45215,322400,10/27/2023,2,1,1928,"1,497","6,534",1
Josie Wittwer,"4531 Orkney Ave, Cincinnati, OH ",45209,325000,12/28/2023,3,2,1928,"1,228","4,356",1
Bhargav Sreepathi,"4531 Orkney Ave, Cincinnati, OH ",45209,325000,12/28/2023,3,2,1928,1228,4356,1
Mohammed Tahir Madni Mohammed,"1942 Crane Ave, Cincinnati, OH",45207,329000,10/17/2023,3,2,1928,1400,9713,1
Sergio Mateo,1362 Herlin Pl,45208,400000,9/11/2023,3,3,1928,1774,4748,2
